实际电压(V),容量(Ah),能量(Wh)
3.1859,246.2545,797.6522
3.1859,246.123,797.2333
3.186,246.0354,796.9543
3.1867,245.9039,796.5353
3.1862,245.7724,796.1165
3.1863,245.6848,795.8373
3.1867,245.5534,795.4186
3.1867,245.4658,795.1395
3.1867,245.3343,794.7207
3.1867,245.2467,794.4415
3.1868,245.1152,794.0226
3.1867,245.0276,793.7436
3.1871,244.8962,793.3246
3.1872,244.8086,793.0454
3.1872,244.6772,792.6268
3.187,244.5895,792.3474
3.1874,244.4577,791.9272
3.1875,244.369,791.6445
3.1876,244.2387,791.2294
3.1879,244.1511,790.9502
3.1881,244.0197,790.5313
3.1881,243.9321,790.2523
3.1877,243.7989,789.8278
3.1879,243.7113,789.5486
3.1884,243.58,789.1298
3.1882,243.4486,788.7111
3.1884,243.361,788.4318
3.1886,243.2292,788.0117
3.1884,243.1417,787.7325
3.1889,243.0103,787.3137
3.1887,242.9227,787.0345
3.1888,242.7914,786.6158
3.1886,242.7038,786.3366
3.1888,242.5724,785.9178
3.1889,242.4849,785.6386
3.1891,242.3535,785.2195
3.1891,242.266,784.9406
3.1891,242.1346,784.5217
3.1892,242.0467,784.2412
3.1893,241.9153,783.8223
3.1893,241.8267,783.5397
3.1897,241.6964,783.1243
3.1896,241.6089,782.8452
3.1896,241.4776,782.4265
3.1899,241.39,782.1472
3.1901,241.2588,781.7285
3.1901,241.1713,781.4495
3.1902,241.04,781.0307
3.1902,240.9083,780.6108
3.1902,240.821,780.3324
3.1904,240.6898,779.9136
3.1907,240.6023,779.6345
3.1906,240.4709,779.2156
3.1905,240.3835,778.9367
3.1907,240.2522,778.5178
3.1906,240.1647,778.2387
3.1908,240.0334,777.8198
3.1909,239.9459,777.5406
3.1912,239.8145,777.1215
3.1912,239.7271,776.8425
3.191,239.5959,776.4238
3.1914,239.5083,776.1445
3.1916,239.3771,775.7257
3.1912,239.2896,775.4464
3.1915,239.1584,775.0278
3.1912,239.0708,774.7485
3.1916,238.9394,774.329
3.1917,238.8523,774.0511
3.1918,238.7209,773.6318
3.1919,238.5897,773.2131
3.1923,238.5022,772.934
3.1919,238.371,772.515
3.1921,238.2835,772.2358
3.192,238.1523,771.817
3.1921,238.0649,771.5378
3.1924,237.9337,771.1191
3.1924,237.8462,770.8398
3.1929,237.715,770.4211
3.1931,237.6275,770.1419
3.1928,237.4963,769.7231
3.1926,237.4086,769.4431
3.1929,237.2762,769.0203
3.1928,237.1902,768.746
3.193,237.0591,768.3272
3.1931,236.9716,768.048
3.1933,236.8404,767.629
3.1935,236.751,767.3436
3.1931,236.6218,766.9312
3.1934,236.5344,766.6519
3.1938,236.4032,766.2332
3.1933,236.3158,765.9539
3.1936,236.1846,765.535
3.1937,236.0535,765.1164
3.1938,235.966,764.8371
3.194,235.8349,764.4183
3.1939,235.7475,764.1393
3.194,235.6163,763.7203
3.1938,235.5289,763.4413
3.1941,235.3978,763.0225
3.1941,235.3104,762.7433
3.1944,235.1792,762.3243
3.1949,235.0918,762.0453
3.1946,234.9607,761.6265
3.1945,234.8733,761.3474
3.1943,234.7422,760.9285
3.1949,234.6547,760.6492
3.1949,234.5236,760.2303
3.1947,234.4362,759.9512
3.1949,234.3052,759.5326
3.1951,234.2178,759.2534
3.1954,234.0867,758.8348
3.195,233.9992,758.5553
3.1953,233.8682,758.1367
3.1956,233.7371,757.7178
3.1956,233.6497,757.4387
3.1954,233.5186,757.0198
3.1954,233.4313,756.7407
3.1955,233.3002,756.3219
3.1954,233.2128,756.0427
3.1958,233.0818,755.624
3.196,232.9941,755.3439
3.1961,232.8633,754.926
3.196,232.7759,754.6468
3.1959,232.6449,754.2278
3.196,232.5575,753.9487
3.1965,232.4265,753.53
3.1967,232.3391,753.2507
3.1963,232.208,752.8318
3.1964,232.1207,752.5527
3.1965,231.9897,752.134
3.1965,231.9024,751.8549
3.1966,231.7713,751.4361
3.1968,231.6837,751.1561
3.1967,231.5529,750.738
3.1968,231.4218,750.3191
3.1972,231.3345,750.0401
3.1967,231.2035,749.6212
3.197,231.1162,749.342
3.197,230.9852,748.9235
3.1973,230.8978,748.6441
3.1972,230.7668,748.2252
3.1971,230.6795,747.9461
3.1973,230.5485,747.5273
3.1976,230.4611,747.248
3.1974,230.3301,746.8292
3.1977,230.2432,746.5511
3.1978,230.1106,746.1271
3.1978,230.0232,745.848
3.1983,229.8922,745.4291
3.198,229.8049,745.1499
3.1982,229.6735,744.7299
3.1978,229.5861,744.4504
3.1984,229.4552,744.0316
3.1982,229.3679,743.7526
3.1981,229.237,743.3339
3.1983,229.1494,743.054
3.1982,229.0188,742.636
3.1985,228.8878,742.2172
3.1986,228.8004,741.9379
3.1986,228.6695,741.5191
3.1988,228.5822,741.2398
3.1988,228.4512,740.8209
3.199,228.364,740.542
3.1989,228.233,740.1231
3.1991,228.1457,739.844
3.1994,228.0143,739.4237
3.1989,227.9271,739.1447
3.199,227.7962,738.7258
3.1994,227.7088,738.4465
3.1993,227.5779,738.0278
3.199,227.4907,737.7486
3.1995,227.3598,737.3298
3.1997,227.2724,737.0505
3.1999,227.1416,736.632
3.1996,227.0543,736.3526
3.2,226.9234,735.9338
3.2001,226.8361,735.6547
3.1996,226.7052,735.2359
3.1996,226.5743,734.817
3.2002,226.4871,734.5379
3.2,226.3562,734.1191
3.2001,226.2689,733.8398
3.2,226.138,733.4211
3.2001,226.0508,733.1419
3.2005,225.9199,732.7231
3.2003,225.8326,732.4437
3.2006,225.7008,732.0221
3.2004,225.6136,731.7429
3.2004,225.4828,731.3243
3.2005,225.3955,731.0451
3.2009,225.2646,730.6263
3.2005,225.1774,730.347
3.2007,225.0465,729.9282
3.2009,224.9593,729.649
3.201,224.8285,729.2304
3.2014,224.7412,728.9512
3.2009,224.6103,728.5322
3.2012,224.5231,728.2532
3.2014,224.3923,727.8345
3.2011,224.2614,727.4155
3.2011,224.1742,727.1364
3.2012,224.0434,726.7175
3.2017,223.9562,726.4384
3.2019,223.8253,726.0194
3.2014,223.7381,725.7402
3.2015,223.6072,725.3215
3.2019,223.5201,725.0424
