海辰280AhOCV-SOC电压,海辰280Ah0.5C放电电压,海辰280Ah0.04C放电电压,海辰280Ah0.5P放电电压,亿纬314Ah0.5P放电电压1,亿纬314Ah0.5P放电电压2,海辰280Ah模拟放电曲线
3.2890200000000003,3.1749,3.2644,3.2089,3.2076,3.2077,3.2089
3.28904,3.1751,3.2646,3.2091,3.2079,3.208,3.2091
3.28906,3.1751,3.2646,3.2093,3.2082,3.2082,3.2093
3.2890800000000002,3.1754,3.2648,3.2094,3.2082,3.208,3.2094
3.2891000000000004,3.1756,3.2648,3.2095,3.2086,3.2084,3.2095
3.28912,3.1758,3.265,3.2097,3.2086,3.2082,3.2097
3.28914,3.176,3.2651,3.2099,3.2087,3.2085,3.2099
3.2891600000000003,3.1761,3.2653,3.2101,3.2087,3.209,3.2101
3.28918,3.1763,3.2653,3.2103,3.2089,3.2089,3.2103
3.2892,3.1765,3.2653,3.2103,3.2093,3.2092,3.2103
3.2892200000000003,3.1767,3.2655,3.2105,3.2096,3.2093,3.2105
3.28924,3.1768,3.2657,3.2107,3.2093,3.2093,3.2107
3.28926,3.177,3.2657,3.2107,3.2095,3.2094,3.2107
3.28928,3.1772,3.2658,3.2109,3.2097,3.2094,3.2109
3.2893,3.1774,3.2658,3.2113,3.2098,3.2096,3.2113
3.28932,3.1775,3.266,3.2112,3.21,3.2098,3.2112
3.28934,3.1777,3.266,3.2115,3.2103,3.21,3.2115
3.2893600000000003,3.1777,3.2662,3.2116,3.2107,3.21,3.2116
3.28938,3.1781,3.2662,3.2118,3.2107,3.2103,3.2118
3.2894,3.1781,3.2664,3.2118,3.2107,3.2106,3.2118
3.2894200000000002,3.1784,3.2664,3.2121,3.2105,3.2106,3.2121
3.28944,3.1784,3.2664,3.2123,3.2107,3.2108,3.2123
3.28946,3.1786,3.2664,3.2124,3.2108,3.2109,3.2124
3.28948,3.1788,3.2665,3.2125,3.2108,3.2108,3.2125
3.2895000000000003,3.1789,3.2665,3.2127,3.211,3.2111,3.2127
3.28952,3.1791,3.2667,3.2127,3.2113,3.2112,3.2127
3.28954,3.1793,3.2667,3.2131,3.2114,3.2114,3.2131
3.2895600000000003,3.1795,3.2667,3.213,3.2118,3.2116,3.213
3.28958,3.1796,3.2669,3.2132,3.2117,3.2118,3.2132
3.2896,3.1798,3.2669,3.2133,3.2117,3.212,3.2133
3.28962,3.18,3.2671,3.2136,3.2119,3.2121,3.2136
3.28964,3.1802,3.2671,3.2136,3.2121,3.2119,3.2136
3.28966,3.1802,3.2671,3.2138,3.2121,3.2122,3.2138
